Symbol,Margin,Leverage
GLOTTIS,20,5
GMBREW,20,5
GMDCLTD,20,5
GMMPFAUDLR,20,5
GMRAIRPORT,20,5
GMRP&amp;UI,20,5
GNFC,20,5
GOCLCORP,20,5
GOCOLORS,20,5
GODAVARIB,20,5
GODFRYPHLP,20,5
GODIGIT,20,5
GODREJAGRO,20,5
GODREJCP,20,5
GODREJIND,20,5
GODREJPROP,20,5
GOKEX,20,5
GOKULAGRO,20,5
GOLD1,20,5
GOLDADD,20,5
GOLDBEES,20,5
GOLDCASE,20,5
GOLDETF,20,5
GOLDIAM,20,5
GOLDIETF,20,5
GOLDSHARE,20,5
GOLDTECH,20,5
GOODLUCK,20,5
GOPAL,20,5
GPIL,20,5
GPPL,20,5
GPTHEALTH,20,5
GPTINFRA,20,5
GRANULES,20,5
GRAPHITE,20,5
GRASIM,20,5
GRAVITA,20,5
GREAVESCOT,20,5
GREENLAM,20,5
GREENPANEL,20,5
GREENPLY,20,5
GREENPOWER,20,5
GRINDWELL,20,5
GRINFRA,20,5
GRMOVER,20,5
GROWW,20,5
GROWWDEFNC,20,5
GROWWGOLD,20,5
GROWWRAIL,20,5
GROWWSLVR,20,5
GRPLTD,20,5
GRSE,20,5
GRWRHITECH,20,5
GSFC,20,5
GSPL,20,5
GUFICBIO,20,5
GUJAPOLLO,20,5
GUJGASLTD,20,5
GUJTHEM,20,5
GULFOILLUB,20,5
GVPIL,20,5
GVT&amp;D,20,5
HAL,20,5
HAPPSTMNDS,20,5
HAPPYFORGE,20,5
HARDWYN,20,5
HARIOMPIPE,20,5
HARSHA,20,5
HATHWAY,20,5
HATSUN,20,5
HAVELLS,20,5
HBLENGINE,20,5
HCC,20,5
HCG,20,5
HCLTECH,20,5
HDBFS,20,5
HDFCAMC,20,5
HDFCBANK,20,5
HDFCGOLD,20,5
HDFCLIFE,20,5
HDFCNIFBAN,20,5
HDFCNIFTY,20,5
HDFCSILVER,20,5
HDFCSML250,20,5
HEG,20,5
HEIDELBERG,20,5
HEMIPROP,20,5
HERITGFOOD,20,5
HEROMOTOCO,20,5
HEXT,20,5
HFCL,20,5
HGINFRA,20,5
HGS,20,5
HIKAL,20,5
HILINFRA,20,5
HIMATSEIDE,20,5
HINDALCO,20,5
HINDCOPPER,20,5
HINDOILEXP,20,5
HINDPETRO,20,5
HINDUNILVR,20,5
HINDWAREAP,20,5
HINDZINC,20,5
HIRECT,20,5
HITECH,20,5
HLEGLAS,20,5
HMAAGRO,20,5
HNDFDS,20,5
HOMEFIRST,20,5
HONASA,20,5
HONAUT,20,5
HONDAPOWER,20,5
HPL,20,5
HSCL,20,5
HUBTOWN,20,5
HUDCO,20,5
HUHTAMAKI,20,5
HYUNDAI,20,5
IBULLSLTD,100,1
ICEMAKE,20,5
ICICIAMC,50,2
ICICIB22,20,5
ICICIBANK,20,5
ICICIGI,20,5
ICICIPRULI,20,5
ICIL,20,5
ICRA,20,5
IDBI,20,5
IDEA,20,5
IDEAFORGE,20,5
IDFCFIRSTB,20,5
IEX,20,5
IFBIND,20,5
IFCI,20,5
IGARASHI,20,5
IGCL,20,5
IGIL,20,5
IGL,20,5
IIFL,20,5
IIFLCAPS,20,5
IKIO,20,5
IKS,20,5
IMAGICAA,20,5
IMFA,20,5
INDGN,20,5
INDHOTEL,20,5
INDIACEM,20,5
INDIAGLYCO,20,5
INDIAMART,20,5
INDIANB,20,5
INDIANHUME,20,5
INDIASHLTR,20,5
INDIGO,20,5
INDIGOPNTS,20,5
INDIQUBE,20,5
INDNIPPON,20,5
INDOBORAX,20,5
INDOCO,20,5
INDOFARM,20,5
INDOSTAR,20,5
INDOTECH,20,5
INDOWIND,20,5
INDRAMEDCO,20,5
INDSWFTLAB,20,5
INDUSINDBK,20,5
INDUSTOWER,20,5
INFIBEAM,20,5
INFOBEAN,20,5
INFRABEES,20,5
INFRAIETF,20,5
INFY,20,5
INGERRAND,20,5
INNOVACAP,20,5
INOXGREEN,20,5
INOXINDIA,20,5
INOXWIND,20,5
INSECTICID,20,5
INTELLECT,20,5
INTERARCH,20,5
IOB,20,5
IOC,20,5
IOLCP,20,5
IONEXCHANG,20,5
IPCALAB,20,5
IPL,20,5
IRB,20,5
IRCON,20,5
IRCTC,20,5
IREDA,20,5
IRFC,20,5
IRISDOREME,20,5
IRMENERGY,20,5
ISGEC,20,5
ITBEES,20,5
ITC,20,5
ITCHOTELS,20,5
ITDC,20,5
ITETF,20,5
ITI,20,5
ITIETF,20,5
IVALUE,20,5
IVZINGOLD,20,5
IXIGO,20,5
IZMO,20,5
J&amp;KBANK,20,5
JAIBALAJI,20,5
JAICORPLTD,20,5
JAINREC,20,5
JAMNAAUTO,20,5
JARO,20,5
JASH,20,5
JAYKAY,20,5
JAYNECOIND,20,5
JBCHEPHARM,20,5
JBMA,20,5
JCHAC,20,5
JGCHEM,20,5
JINDALPHOT,20,5
JINDALPOLY,20,5
JINDALSAW,20,5
JINDALSTEL,20,5
